Station Name,Datetime,Fuel_Moist_Per
Beaver Camp Loc,2021-05-02 01:00:00,13.8
Beaver Camp Loc,2021-05-02 02:00:00,13.8
Beaver Camp Loc,2021-05-02 03:00:00,14.0
Beaver Camp Loc,2021-05-02 04:00:00,14.5
Beaver Camp Loc,2021-05-02 05:00:00,15.0
Beaver Camp Loc,2021-05-02 06:00:00,14.8
Beaver Camp Loc,2021-05-02 07:00:00,11.9
Beaver Camp Loc,2021-05-02 08:00:00,9.0
Beaver Camp Loc,2021-05-02 09:00:00,7.5
Beaver Camp Loc,2021-05-02 10:00:00,7.5
Beaver Camp Loc,2021-05-02 11:00:00,6.4
Beaver Camp Loc,2021-05-02 12:00:00,6.9
Beaver Camp Loc,2021-05-02 13:00:00,6.6
Beaver Camp Loc,2021-05-02 14:00:00,6.2
Beaver Camp Loc,2021-05-02 15:00:00,5.9
Beaver Camp Loc,2021-05-02 16:00:00,6.1
Beaver Camp Loc,2021-05-02 17:00:00,7.1
Beaver Camp Loc,2021-05-02 18:00:00,8.1
Beaver Camp Loc,2021-05-02 19:00:00,8.8
Beaver Camp Loc,2021-05-02 20:00:00,10.0
Beaver Camp Loc,2021-05-02 21:00:00,10.4
Beaver Camp Loc,2021-05-02 22:00:00,10.4
Beaver Camp Loc,2021-05-02 23:00:00,10.2
Beaver Camp Loc,2021-05-02 00:00:00,10.1
Beaver Camp Loc,2021-05-01 01:00:00,8.3
Beaver Camp Loc,2021-05-01 02:00:00,8.3
Beaver Camp Loc,2021-05-01 03:00:00,8.0
Beaver Camp Loc,2021-05-01 04:00:00,7.7
Beaver Camp Loc,2021-05-01 05:00:00,8.2
Beaver Camp Loc,2021-05-01 06:00:00,8.5
Beaver Camp Loc,2021-05-01 07:00:00,8.7
Beaver Camp Loc,2021-05-01 08:00:00,7.2
Beaver Camp Loc,2021-05-01 09:00:00,6.0
Beaver Camp Loc,2021-05-01 10:00:00,4.7
Beaver Camp Loc,2021-05-01 11:00:00,3.9
Beaver Camp Loc,2021-05-01 12:00:00,3.6
Beaver Camp Loc,2021-05-01 13:00:00,3.6
Beaver Camp Loc,2021-05-01 14:00:00,3.7
Beaver Camp Loc,2021-05-01 15:00:00,4.2
Beaver Camp Loc,2021-05-01 16:00:00,4.7
Beaver Camp Loc,2021-05-01 17:00:00,5.8
Beaver Camp Loc,2021-05-01 18:00:00,6.8
Beaver Camp Loc,2021-05-01 19:00:00,8.1
Beaver Camp Loc,2021-05-01 20:00:00,9.5
Beaver Camp Loc,2021-05-01 21:00:00,10.8
Beaver Camp Loc,2021-05-01 22:00:00,12.0
Beaver Camp Loc,2021-05-01 23:00:00,13.1
Beaver Camp Loc,2021-05-01 00:00:00,13.8
Briones,2021-05-02 01:00:00,42.0
Briones,2021-05-02 02:00:00,42.0
Briones,2021-05-02 03:00:00,41.0
Briones,2021-05-02 04:00:00,40.0
Briones,2021-05-02 05:00:00,39.0
Briones,2021-05-02 06:00:00,41.0
Briones,2021-05-02 07:00:00,40.0
Briones,2021-05-02 08:00:00,43.0
Briones,2021-05-02 09:00:00,44.0
Briones,2021-05-02 10:00:00,41.0
Briones,2021-05-02 11:00:00,42.0
Briones,2021-05-02 12:00:00,42.0
Briones,2021-05-02 13:00:00,42.0
Briones,2021-05-02 14:00:00,43.0
Briones,2021-05-02 15:00:00,45.0
Briones,2021-05-02 16:00:00,42.0
Briones,2021-05-02 17:00:00,41.0
Briones,2021-05-02 18:00:00,43.0
Briones,2021-05-02 19:00:00,43.0
Briones,2021-05-02 20:00:00,44.0
Briones,2021-05-02 21:00:00,44.0
Briones,2021-05-02 22:00:00,44.0
Briones,2021-05-02 23:00:00,43.0
Briones,2021-05-02 00:00:00,43.0
Briones,2021-05-01 01:00:00,47.0
Briones,2021-05-01 02:00:00,46.0
Briones,2021-05-01 03:00:00,47.0
Briones,2021-05-01 04:00:00,46.0
Briones,2021-05-01 05:00:00,47.0
Briones,2021-05-01 06:00:00,49.0
Briones,2021-05-01 07:00:00,51.0
Briones,2021-05-01 08:00:00,51.0
Briones,2021-05-01 09:00:00,49.0
Briones,2021-05-01 10:00:00,49.0
Briones,2021-05-01 11:00:00,47.0
Briones,2021-05-01 12:00:00,49.0
Briones,2021-05-01 13:00:00,47.0
Briones,2021-05-01 14:00:00,49.0
Briones,2021-05-01 15:00:00,49.0
Briones,2021-05-01 16:00:00,46.0
Briones,2021-05-01 17:00:00,47.0
Briones,2021-05-01 18:00:00,47.0
Briones,2021-05-01 19:00:00,47.0
Briones,2021-05-01 20:00:00,46.0
Briones,2021-05-01 21:00:00,45.0
Briones,2021-05-01 22:00:00,44.0
Briones,2021-05-01 23:00:00,44.0
Briones,2021-05-01 00:00:00,43.0
Oakland North,2021-05-02 01:00:00,17.8
Oakland North,2021-05-02 02:00:00,18.6
Oakland North,2021-05-02 03:00:00,18.1
Oakland North,2021-05-02 04:00:00,17.0
Oakland North,2021-05-02 05:00:00,16.8
Oakland North,2021-05-02 06:00:00,16.0
Oakland North,2021-05-02 07:00:00,15.3
Oakland North,2021-05-02 08:00:00,13.3
Oakland North,2021-05-02 09:00:00,12.5
Oakland North,2021-05-02 10:00:00,10.6
Oakland North,2021-05-02 11:00:00,9.9
Oakland North,2021-05-02 12:00:00,9.4
Oakland North,2021-05-02 13:00:00,8.6
Oakland North,2021-05-02 14:00:00,8.3
Oakland North,2021-05-02 15:00:00,7.9
Oakland North,2021-05-02 16:00:00,7.7
Oakland North,2021-05-02 17:00:00,7.5
Oakland North,2021-05-02 18:00:00,7.5
Oakland North,2021-05-02 19:00:00,7.6
Oakland North,2021-05-02 20:00:00,7.7
Oakland North,2021-05-02 21:00:00,8.0
Oakland North,2021-05-02 22:00:00,8.4
Oakland North,2021-05-02 23:00:00,8.8
Oakland North,2021-05-02 00:00:00,9.2
Oakland North,2021-05-01 01:00:00,18.6
Oakland North,2021-05-01 02:00:00,19.9
Oakland North,2021-05-01 03:00:00,21.2
Oakland North,2021-05-01 04:00:00,22.3
Oakland North,2021-05-01 05:00:00,23.3
Oakland North,2021-05-01 06:00:00,23.9
Oakland North,2021-05-01 07:00:00,24.6
Oakland North,2021-05-01 08:00:00,23.8
Oakland North,2021-05-01 09:00:00,23.8
Oakland North,2021-05-01 10:00:00,19.3
Oakland North,2021-05-01 11:00:00,14.8
Oakland North,2021-05-01 12:00:00,11.9
Oakland North,2021-05-01 13:00:00,10.8
Oakland North,2021-05-01 14:00:00,10.5
Oakland North,2021-05-01 15:00:00,9.9
Oakland North,2021-05-01 16:00:00,10.1
Oakland North,2021-05-01 17:00:00,9.8
Oakland North,2021-05-01 18:00:00,10.2
Oakland North,2021-05-01 19:00:00,10.9
Oakland North,2021-05-01 20:00:00,12.0
Oakland North,2021-05-01 21:00:00,13.4
Oakland North,2021-05-01 22:00:00,14.9
Oakland North,2021-05-01 23:00:00,15.8
Oakland North,2021-05-01 00:00:00,17.0
Las Trampas,2021-05-02 01:00:00,42.0
Las Trampas,2021-05-02 02:00:00,42.0
Las Trampas,2021-05-02 03:00:00,41.0
Las Trampas,2021-05-02 04:00:00,40.0
Las Trampas,2021-05-02 05:00:00,40.0
Las Trampas,2021-05-02 06:00:00,41.0
Las Trampas,2021-05-02 07:00:00,42.0
Las Trampas,2021-05-02 08:00:00,44.0
Las Trampas,2021-05-02 09:00:00,42.0
Las Trampas,2021-05-02 10:00:00,44.0
Las Trampas,2021-05-02 11:00:00,47.0
Las Trampas,2021-05-02 12:00:00,47.0
Las Trampas,2021-05-02 13:00:00,47.0
Las Trampas,2021-05-02 14:00:00,47.0
Las Trampas,2021-05-02 15:00:00,47.0
Las Trampas,2021-05-02 16:00:00,46.0
Las Trampas,2021-05-02 17:00:00,46.0
Las Trampas,2021-05-02 18:00:00,42.0
Las Trampas,2021-05-02 19:00:00,43.0
Las Trampas,2021-05-02 20:00:00,44.0
Las Trampas,2021-05-02 21:00:00,44.0
Las Trampas,2021-05-02 22:00:00,44.0
Las Trampas,2021-05-02 23:00:00,44.0
Las Trampas,2021-05-02 00:00:00,43.0
Las Trampas,2021-05-01 01:00:00,45.0
Las Trampas,2021-05-01 02:00:00,45.0
Las Trampas,2021-05-01 03:00:00,45.0
Las Trampas,2021-05-01 04:00:00,46.0
Las Trampas,2021-05-01 05:00:00,48.0
Las Trampas,2021-05-01 06:00:00,50.0
Las Trampas,2021-05-01 07:00:00,51.0
Las Trampas,2021-05-01 08:00:00,52.0
Las Trampas,2021-05-01 09:00:00,52.0
Las Trampas,2021-05-01 10:00:00,52.0
Las Trampas,2021-05-01 11:00:00,53.0
Las Trampas,2021-05-01 12:00:00,53.0
Las Trampas,2021-05-01 13:00:00,51.0
Las Trampas,2021-05-01 14:00:00,50.0
Las Trampas,2021-05-01 15:00:00,50.0
Las Trampas,2021-05-01 16:00:00,49.0
Las Trampas,2021-05-01 17:00:00,49.0
Las Trampas,2021-05-01 18:00:00,46.0
Las Trampas,2021-05-01 19:00:00,46.0
Las Trampas,2021-05-01 20:00:00,46.0
Las Trampas,2021-05-01 21:00:00,45.0
Las Trampas,2021-05-01 22:00:00,43.0
Las Trampas,2021-05-01 23:00:00,42.0
Las Trampas,2021-05-02 00:00:00,41.0
